author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
ЛСР,developer,https://www.cian.ru/sale/flat/295835013/,Москва,sale,flat,12,23,1,25.4,-1,0,8963253,Чертаново Центральное,,2,Пражская,Парксайд ЖК
МЕТРЫ,real_estate_agent,https://www.cian.ru/sale/flat/301423163/,Москва,sale,flat,2,8,1,16.0,-1,0,12000000,Замоскворечье,Большой Овчинниковский переулок,10,Новокузнецкая,
ЛСР,developer,https://www.cian.ru/sale/flat/293203759/,Москва,sale,flat,6,23,1,22.57,-1,0,9444393,Западное Дегунино,Северный ао,,Селигерская,Дмитровское небо ЖК
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/298213143/,Москва,sale,flat,1,5,1,19.5,-1,0,6950000,Коптево,Большая Академическая ,8К1,Красный Балтиец,
ЛСР,developer,https://www.cian.ru/sale/flat/298525238/,Москва,sale,flat,18,24,1,21.6,-1,0,10155088,Солнцево,Производственная ,17,Солнцево,Лучи
ID 15656010,unknown,https://www.cian.ru/sale/flat/301481116/,Москва,sale,flat,4,28,1,23.0,-1,0,14300000,Лефортово,проезд Невельского,1к4,Авиамоторная,Символ
А101,developer,https://www.cian.ru/sale/flat/292131395/,Москва,sale,flat,8,15,1,22.5,-1,0,5925123,,,,Ольховая,Деснаречье ЖК
METRAGE,real_estate_agent,https://www.cian.ru/sale/flat/292570624/,Москва,sale,flat,4,20,1,28.3,-1,0,9000000,Метрогородок,Тагильская ,,Бульвар Рокоссовского,Сиреневый парк
А101,developer,https://www.cian.ru/sale/flat/296666503/,Москва,sale,flat,17,19,1,20.9,-1,0,6399622,,,,Улица Горчакова,Бунинские кварталы
МЕТРЫ,real_estate_agent,https://www.cian.ru/sale/flat/301045759/,Москва,sale,flat,3,8,1,16.1,-1,0,10850000,Мещанский,проспект Мира,48С6,Проспект Мира,
А101,developer,https://www.cian.ru/sale/flat/279839539/,Москва,sale,flat,16,16,1,22.6,-1,0,8078935,,,5.2.4,Прокшино,Прокшино ЖК
Виктор Долгорукий,realtor,https://www.cian.ru/sale/flat/297935809/,Москва,sale,flat,1,7,-1,24.5,-1,0,7105000,Южнопортовый,6-я Кожуховская ,24,Кожуховская,
А101,developer,https://www.cian.ru/sale/flat/299534593/,Москва,sale,flat,10,14,1,23.9,-1,0,8153648,,,,Улица Скобелевская,Скандинавия
Владис,real_estate_agent,https://www.cian.ru/sale/flat/301509894/,Москва,sale,flat,15,26,1,26.7,-1,0,13500000,Лефортово, Крузенштерна,12к3,Авиамоторная,Символ
Группа Аквилон,developer,https://www.cian.ru/sale/flat/299730429/,Москва,sale,flat,10,28,1,23.75,-1,0,9219798,Нижегородский,,,Нижегородская,Аквилон Бисайд 2.0 ЖК
МЕТРЫ,real_estate_agent,https://www.cian.ru/sale/flat/301062354/,Москва,sale,flat,3,8,1,19.1,-1,0,12400000,Мещанский,проспект Мира,48С6,Проспект Мира,
Группа Аквилон,developer,https://www.cian.ru/sale/flat/298798721/,Москва,sale,flat,16,23,-1,24.2,-1,0,8286727,Отрадное,Сигнальный проезд,12,Владыкино,Akvilon Signal
МИЭЛЬ,real_estate_agent,https://www.cian.ru/sale/flat/277272318/,Москва,sale,flat,35,47,1,34.3,-1,0,17500000,Обручевский, Академика Волгина,вл2с6,Калужская,Архитектор
А101,developer,https://www.cian.ru/sale/flat/289990931/,Москва,sale,flat,9,14,1,20.9,-1,0,6997876,,,3.2,Коммунарка,Дзен-кварталы ЖК
Владис,real_estate_agent,https://www.cian.ru/sale/flat/300993712/,Москва,sale,flat,4,25,1,26.48,-1,0,16000000,Обручевский,,,Воронцовская,Афи Парк Воронцовский ЖК
МонАрх,developer,https://www.cian.ru/sale/flat/295831034/,Москва,sale,flat,27,30,-1,22.9,-1,0,7980650,Черемушки, Наметкина,10Д,Воронцовская,Комплекс апартаментов AIST RESIDENCE
RedHome,real_estate_agent,https://www.cian.ru/sale/flat/297162710/,Москва,sale,flat,5,22,1,20.7,-1,0,8500000,Солнцево,,к15,Солнцево,Лучи ЖК
Upside Development,developer,https://www.cian.ru/sale/flat/300478672/,Москва,sale,flat,18,57,1,24.85,-1,0,13381349,Бутырский,Огородный проезд,4С2,Бутырская,Upside Towers
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/301566030/,Москва,sale,flat,6,18,1,22.3,-1,0,10190000,,,5.1.1,Прокшино,Прокшино ЖК
Level Group,developer,https://www.cian.ru/sale/flat/301556130/,Москва,sale,flat,22,29,1,22.5,-1,0,,Нижегородский,,,Нижегородская,Левел Нижегородская ЖК
Msk Estate,real_estate_agent,https://www.cian.ru/sale/flat/299606921/,Москва,sale,flat,3,6,-1,26.0,-1,0,10000000,Коптево, Клары Цеткин,18к3,Красный Балтиец,
Концерн Русич,developer,https://www.cian.ru/sale/flat/300312996/,Москва,sale,flat,15,26,1,20.0,-1,0,8800440,Царицыно,Севанская ,62С2,Каширская,РУСИЧ-Кантемировский
Владис,real_estate_agent,https://www.cian.ru/sale/flat/300757359/,Москва,sale,flat,12,23,-1,26.3,-1,0,8900000,Южнопортовый,м. Волгоградский проспект,,Волгоградский проспект,Хайвэй ЖК
St Michael,developer,https://www.cian.ru/sale/flat/300885890/,Москва,sale,flat,3,25,1,24.34,-1,0,14691624,Хорошево-Мневники, Берзарина,,Октябрьское поле,Квартал Серебряный Бор
ФСК Агент,real_estate_agent,https://www.cian.ru/sale/flat/300822483/,Москва,sale,flat,10,30,1,33.5,-1,0,13450000,Покровское-Стрешнево,Строительный проезд,9С6,Тушинская,Sky Garden
Level Group,developer,https://www.cian.ru/sale/flat/301557067/,Москва,sale,flat,29,30,1,28.7,-1,0,,Западное Дегунино,Северный ао,к2,Селигерская,Левел Селигерская ЖК
